kaynak_turu,paket_adi,procedure_adi,satir_no,hedef_tablo,hedef_kolon,belirsiz_kolon,kullanim_tipi,aday_tablolar,sql_onizleme
ETL,,MS_EX_OFSA_SB_FONLAMA_GETIRISI,74,OFSA_EX_FONLAMA_GETIRISI,URUN_KODU,PRODUCT_TYPE,LINEAGE,SUMMARY_PROD.GL_LIABILITY; OLAP.FC_CUSTOMER,"INSERT
      INTO OFSA_SB.OFSA_EX_FONLAMA_GETIRISI
  (
   SELECT
        MEVD.TARIH AS AS_OF_DATE,
        MEVD.MUS_NO AS MUS_NO,
        MEVD.SEGM AS SEGMENT,
       OFSA_SB.MN_UTILITY.MAP_OFSA_ISKOLU (BUSINESS_SEGMENT_CODE   => MEVD.SEGM) AS ISKOLU,
                        
        CASE WHEN TO_NUMBER(MEVD.SUBE) IN ('6','220','372','122') THEN -1 ELSE TO_NUMBER(ORG.PARENT_CODE) END BOLGE,
        TO_NUMBER(MEVD.SUBE) AS SUBE,
        NVL(MEVD.OFF_CODE, 999999) AS MT,
        NVL(MEVD.URUN_KODU"
ETL,,MS_EX_OFSA_SB_FONLAMA_GETIRISI,74,OFSA_EX_FONLAMA_GETIRISI,URUN_KODU,PRODUCT_TYPE,LINEAGE,SUMMARY_PROD.GL_LIABILITY; OLAP.FC_CUSTOMER,"INSERT
      INTO OFSA_SB.OFSA_EX_FONLAMA_GETIRISI
  (
   SELECT
        MEVD.TARIH AS AS_OF_DATE,
        MEVD.MUS_NO AS MUS_NO,
        MEVD.SEGM AS SEGMENT,
       OFSA_SB.MN_UTILITY.MAP_OFSA_ISKOLU (BUSINESS_SEGMENT_CODE   => MEVD.SEGM) AS ISKOLU,
                        
        CASE WHEN TO_NUMBER(MEVD.SUBE) IN ('6','220','372','122') THEN -1 ELSE TO_NUMBER(ORG.PARENT_CODE) END BOLGE,
        TO_NUMBER(MEVD.SUBE) AS SUBE,
        NVL(MEVD.OFF_CODE, 999999) AS MT,
        NVL(MEVD.URUN_KODU"
ETL,,MS_EX_OFSA_SB_FONLAMA_GETIRISI,74,OFSA_EX_FONLAMA_GETIRISI,,PRODUCT_TYPE,GROUP_BY,SUMMARY_PROD.GL_LIABILITY; OLAP.FC_CUSTOMER,"GROUP BY
  MEVD.TARIH,
  OFSA_SB.MN_UTILITY.MAP_OFSA_ISKOLU(BUSINESS_SEGMENT_CODE => MEVD.SEGM),
  CASE
    WHEN TO_NUMBER(MEVD.SUBE) IN ('6', '220', '372', '122')
    THEN -1
    ELSE TO_NUMBER(ORG.PARENT_CODE)
  END,
  TO_NUMBER(MEVD.SUBE),
  MEVD.OFF_CODE,
  MEVD.SEGM,
  MEVD.CCY,
  MEVD.URUN_KODU,
  MEVD.PRODUCT_NAME,
  MEVD.MUS_NO"
ETL,,MS_EX_OFSA_SB_FONLAMA_GETIRISI,74,OFSA_EX_FONLAMA_GETIRISI,,PRODUCT_TYPE,GROUP_BY,SUMMARY_PROD.GL_LIABILITY; OLAP.FC_CUSTOMER,"GROUP BY
  CASE
    WHEN TO_NUMBER(A.BRANCH_CODE) IN ('188', '1', '219')
    THEN TO_NUMBER(C.MAIN_BRANCH_CODE)
    ELSE TO_NUMBER(A.BRANCH_CODE)
  END,
  CASE
    WHEN TO_NUMBER(A.BRANCH_CODE) IN ('188', '1', '219')
    THEN 'FONLAMA_GETIRI_GM_BILANCO'
    ELSE 'FONLAMA_GETIRI_MEVD_BLOKE'
  END,
  TO_CHAR(B.BAYI_MUS_NO),
  SEG.BUSINESS_SEGMENT_CODE,
  A.REPRESENTATIVE_FILE_NO,
  NVL(PRODUCT_TYPE, 888888),
  A.PRODUCT_NAME,
  A.CURRENCY_CODE,
  BLOKE_GUN_SAYISI"
ETL,,MS_EX_OFSA_SB_FONLAMA_GETIRISI,74,OFSA_EX_FONLAMA_GETIRISI,,PRODUCT_TYPE,GROUP_BY,SUMMARY_PROD.GL_LIABILITY; OLAP.FC_CUSTOMER,"GROUP BY
  CASE
    WHEN TO_NUMBER(A.BRANCH_CODE) IN ('188', '1', '219')
    THEN TO_NUMBER(C.MAIN_BRANCH_CODE)
    ELSE TO_NUMBER(A.BRANCH_CODE)
  END,
  CASE
    WHEN TO_NUMBER(A.BRANCH_CODE) IN ('188', '1', '219')
    THEN 'FONLAMA_GETIRI_GM_BILANCO'
    ELSE 'FONLAMA_GETIRI_MEVD_BLOKE'
  END,
  TO_CHAR(B.ANA_FIRMA_MUS_NO),
  SEG.BUSINESS_SEGMENT_CODE,
  A.REPRESENTATIVE_FILE_NO,
  NVL(PRODUCT_TYPE, 888888),
  A.PRODUCT_NAME,
  A.CURRENCY_CODE,
  BLOKE_GUN_SAYISI"
ETL,,MS_EX_OFSA_SB_FONLAMA_GETIRISI,74,OFSA_EX_FONLAMA_GETIRISI,,PRODUCT_TYPE,GROUP_BY,SUMMARY_PROD.GL_LIABILITY; OLAP.FC_CUSTOMER,"GROUP BY
  CASE
    WHEN TO_NUMBER(A.BRANCH_CODE) IN ('188', '1', '219')
    THEN TO_NUMBER(C.MAIN_BRANCH_CODE)
    ELSE TO_NUMBER(A.BRANCH_CODE)
  END,
  CASE
    WHEN TO_NUMBER(A.BRANCH_CODE) IN ('188', '1', '219')
    THEN 'FONLAMA_GETIRI_GM_BILANCO'
    ELSE 'FONLAMA_GETIRI_MEVD_BLOKE'
  END,
  A.CUSTOMER_CODE,
  SEG.BUSINESS_SEGMENT_CODE,
  C.REPRESENTATIVE_FILE_NO,
  NVL(PRODUCT_TYPE, 888888),
  A.PRODUCT_NAME,
  A.CURRENCY_CODE"
ETL,,MS_EX_OFSA_SB_FX_TRV_ISLM_GDR,52,OFSA_EX_FX_TRV_ISLM_GDR,,PRODUCT_TYPE,WHERE,DM.OFSA_DAILY_INVESTMENT; OLAP.FC_CUSTOMER,"WHERE
  A.AS_OF_DATE BETWEEN AYBASI AND PDATE
  AND C.AS_OF_DATE (+) = PDATE
  AND A.CUS_NO = C.CUSTOMER_CODE (+)
  AND SEG.AS_OF_DATE (+) = SEGM_TARIH
  AND A.CUS_NO = SEG.CUSTOMER_CODE (+)
  AND PRODUCT_TYPE = 'BFX'
  AND /* AND NVL(A.CUS_NO,0)!=0 */ A.FX_GAIN_LOSS <> 0
  AND A.ID_NUMBER NOT LIKE 'BFXDCD%'
  AND A.ID_NUMBER NOT LIKE 'BFXFW%'"
ETL,,MS_EX_OFSA_SB_KASA_FONL_MALI,33,OFSA_EX_KASA_FONLAMA_MALIYETI,,SUBE,GROUP_BY,OLAP.DM_ORGANIZATION; DEPOSIT.CGM_CASH_GROUP_TRANSFER; OLAP.FC_EVALUATION_RATES; SUBE_KASA_LIMIT; SUBE_KASA_LIMIT_MUAFIYET; OLAP.DM_TIME; OLAP.FC_VOUCHER_DETAIL; BFX.PR_POOL_RATES; SUMMARY_PROD.GL_CUSTOMER,"GROUP BY
  SUBE,
  PB,
  PDATE"
ETL,,MS_EX_OFSA_SB_MANUEL_KALEMLER,1182,OFSA_MANUEL_UPLOAD_LOG,,DEPENDENCE_CODE,WHERE,INFRA.ADMIN_ORG_ORGANIZATION; INFRA.ADMIN_ORG_DEPENDENCE; INFRA.ADMIN_ORG_ORG_DEPENDENCE,"WHERE
  DEPENDENCE_CODE = '014'
  AND SUBE.OID = ORG_DEP.ORGANIZATION_OID (+)
  AND DEP.OID (+) = ORG_DEP.DEPENDENCE_OID"
ETL,,MS_EX_OFSA_SB_SEKERYATIRIM,40,OFSA_EX_SEKERYATIRIM,MUS_NO,SKBNKMUSNO,LINEAGE,BI_APP.BATCHRPRTRSLT_CUSTEFFSUM_MNTLY; OLAP.FC_CUSTOMER; OLAP.DM_ORGANIZATION,"INSERT
      INTO OFSA_SB.OFSA_EX_SEKERYATIRIM

     (
          SELECT 
           PDATE AS AS_OF_DATE,
           NVL(TO_NUMBER(SKBNKMUSNO),999999999) AS MUS_NO,
           OFSA_SB.MN_UTILITY.MAP_OFSA_ISKOLU (BUSINESS_SEGMENT_CODE   => SEG.BUSINESS_SEGMENT_CODE) AS ISKOLU,
           SEG.BUSINESS_SEGMENT_CODE AS SEGMENT,
           CASE WHEN TO_NUMBER(I.AGENTID) IN ('6','220', '122','372') THEN -1 ELSE TO_NUMBER(ORG.PARENT_CODE) END BOLGE,
           TO_NUMBER(I.AGENTID) AS SUBE,
           NV"
ETL,,MS_EX_OFSA_SB_SEKERYATIRIM,40,OFSA_EX_SEKERYATIRIM,,SKBNKMUSNO,JOIN_ON,BI_APP.BATCHRPRTRSLT_CUSTEFFSUM_MNTLY; OLAP.FC_CUSTOMER; OLAP.DM_ORGANIZATION,"C.AS_OF_DATE = PDATE
AND TO_NUMBER(NVL(SKBNKMUSNO, 999999999)) = TO_NUMBER(C.CUSTOMER_CODE)"
ETL,,MS_EX_OFSA_SB_SEKERYATIRIM,40,OFSA_EX_SEKERYATIRIM,,SKBNKMUSNO,JOIN_ON,BI_APP.BATCHRPRTRSLT_CUSTEFFSUM_MNTLY; OLAP.FC_CUSTOMER; OLAP.DM_ORGANIZATION,"SEG.AS_OF_DATE = SEGM_TARIH
AND TO_NUMBER(NVL(SKBNKMUSNO, 999999999)) = TO_NUMBER(SEG.CUSTOMER_CODE)"
ETL,,MS_EX_OFSA_SB_SEKERYATIRIM,40,OFSA_EX_SEKERYATIRIM,,SKBNKMUSNO,GROUP_BY,BI_APP.BATCHRPRTRSLT_CUSTEFFSUM_MNTLY; OLAP.FC_CUSTOMER; OLAP.DM_ORGANIZATION,"GROUP BY
  PDATE,
  NVL(TO_NUMBER(SKBNKMUSNO), 999999999),
  OFSA_SB.MN_UTILITY.MAP_OFSA_ISKOLU(BUSINESS_SEGMENT_CODE => SEG.BUSINESS_SEGMENT_CODE),
  SEG.BUSINESS_SEGMENT_CODE,
  CASE
    WHEN TO_NUMBER(I.AGENTID) IN ('6', '220', '122', '372')
    THEN -1
    ELSE TO_NUMBER(ORG.PARENT_CODE)
  END,
  TO_NUMBER(I.AGENTID),
  NVL(TO_NUMBER(C.REPRESENTATIVE_FILE_NO), '999999')"
ETL,t_order_payments_olax,t_order_payments_olax,14,T_ORDER_PAYMENTS_QA,product_type,product_type,LINEAGE,OFSA_DAILY.E_ORDER_PAYMENTS; STAGE.EX_INFRA_CUST_CUST_CUST,"INSERT INTO T_ORDER_PAYMENTS_QA
          SELECT as_of_date,
                 id_number,
                 order_date,
                 institution_code,
                 institution_short_name,
                 protocol_start_date,
                 protocol_end_date,
                 inst_cus_no,
                 inst_org_code,
                 inst_account_code,
                 cus_no,
                 c.profit_center_code,
                 c.profit_segment_code,
                 account_code,"
ETL,t_order_payments_olax,t_order_payments_olax,14,T_ORDER_PAYMENTS_QA,,product_type,GROUP_BY,OFSA_DAILY.E_ORDER_PAYMENTS; STAGE.EX_INFRA_CUST_CUST_CUST,"GROUP BY
  as_of_date,
  id_number,
  order_date,
  institution_code,
  institution_short_name,
  protocol_start_date,
  protocol_end_date,
  inst_cus_no,
  inst_org_code,
  inst_account_code,
  cus_no,
  c.profit_center_code,
  c.profit_segment_code,
  account_code,
  product_type,
  currency_code,
  payment_day_of_month,
  blocked_day_count,
  blocked_day_type,
  a.updated_by,
  a.status,
  personnel_status,
  is_active,
  has_promotion,
  payment_reference_id,
  order_oid,
  REGISTER_NO,
  VO"
